ORF	SD	ABS
YBL049W	1.497	0.984
YBL050W	0.461	0.448
YBL051C	0.468	0.314
YBL052C	0.469	0.444
YBL053W	0.463	0.414
YBL054W	1.165	0.933
YBL055C	0.546	0.422
YBL056W	0.51	0.334
YBL057C	0.519	0.34
YBL058W	0.452	0.353
YBL059W	0.51	0.385
YBL060W	0.401	0.296
YBL061C	0.52	0.42
YBL062W	0.456	0.395
YBL063W	0.416	0.343
YBL064C	1.789	1.947
YBL065W	0.736	0.514
YBL066C	0.499	0.359
YBL067C	0.588	0.412
YBL068W	0.857	0.792
YBL069W	0.534	0.451
YBL070C	0.691	0.537
YBL071C	0.524	0.422
YBL072C	1.297	1.011
YBL073W	0.518	0.422
YBL074C	0.436	0.372
YBL075C	1.49	1.095
YBL076C	1.058	0.872
YBL077W	0.946	0.713
YBL078C	1.478	1.229
YBL079W	0.44	0.397
YBL080C	0.524	0.378
YBL081W	0.473	0.383
YBL082C	0.575	0.577
YBL083C	0.576	0.498
YBL084C	0.716	0.492
YBL085W	0.484	0.364
YBL086C	0.814	0.599
YBL087C	1.097	0.9
YBL088C	0.601	0.466
YBL089W	0.36	0.267
YBL090W	0.447	0.363
YBL091C	0.418	0.334
YBL092W	1.119	0.878
YBL093C	0.491	0.375
YBL094C	0.432	0.317
YBL095W	0.639	0.428
YBL096C	0.425	0.327
YBL097W	0.35	0.268
YBL098W	0.528	0.396
YBL099W	0.76	0.579
YBL100C	0.74	0.55
YBL101C	0.541	0.504
YBL101W-A	0.81	0.586
YBL101W-B	0.5	0.367
YBL102W	0.411	0.368
YBL103C	0.401	0.31
YBL104C	0.486	0.382
YBL105C	0.418	0.314
YBL106C	0.485	0.348
YBL107C	0.487	0.485
YBL108W	0.689	0.497
YBL109W	0.576	0.42
YBL111C	0.565	0.439
YBL112C	0.498	0.376
YBL113C	0.61	0.475
YBR001C	0.948	0.867
YBR002C	0.447	0.355
YBR003W	1.234	0.916
YBR004C	0.552	0.411
YBR005W	0.581	0.442
YBR006W	1.192	1.089
YBR007C	0.499	0.349
YBR008C	0.881	0.532
YBR009C	0.797	0.618
YBR010W	0.637	0.509
YBR011C	0.824	0.495
YBR012C	0.489	0.375
YBR012W-A	0.882	0.619
YBR012W-B	0.715	0.446
YBR013C	0.442	0.344
YBR014C	0.593	0.496
YBR015C	0.4	0.321
YBR016W	0.564	0.441
YBR017C	0.686	0.536
YBR018C	1.709	1.045
YBR019C	1.405	0.758
YBR020W	1.579	0.762
YBR021W	0.764	0.573
YBR022W	0.367	0.309
YBR023C	0.597	0.483
YBR024W	0.558	0.481
YBR025C	0.856	0.593
YBR026C	0.877	0.858
YBR027C	0.347	0.313
YBR028C	0.595	0.419
YBR029C	0.547	0.405
YBR030W	0.623	0.533
YBR031W	1.017	0.889
YBR032W	0.474	0.449
YBR033W	0.494	0.339
YBR034C	1.258	1.04
YBR035C	0.584	0.445
YBR036C	0.566	0.381
YBR037C	0.783	0.505
YBR038W	0.625	0.437
YBR039W	0.728	0.545
YBR040W	0.865	0.73
YBR041W	0.587	0.418
YBR042C	0.433	0.344
YBR043C	0.494	0.363
YBR044C	0.478	0.348
YBR045C	0.803	0.585
YBR046C	1.103	1.02
YBR047W	1.12	0.861
YBR048W	1.23	0.977
YBR049C	0.389	0.347
YBR050C	1.278	0.803
YBR051W	1.165	0.733
YBR052C	0.984	0.946
YBR053C	1.124	0.988
YBR054W	1.367	1.139
YBR055C	0.382	0.286
YBR056W	1.128	1.11
YBR057C	0.435	0.355
YBR058C	0.365	0.255
YBR059C	0.824	0.456
YBR060C	0.526	0.398
YBR061C	0.716	0.66
YBR062C	0.668	0.591
YBR063C	0.495	0.363
YBR064W	0.568	0.422
YBR065C	0.545	0.408
YBR066C	0.588	0.469
YBR067C	0.999	0.736
YBR068C	0.98	0.699
YBR069C	1.303	1.013
YBR070C	0.472	0.383
YBR071W	0.536	0.371
YBR072W	2.454	2.187
YBR073W	0.625	0.476
YBR074W	0.603	0.466
YBR075W	0.446	0.368
YBR076W	0.81	0.519
YBR077C	0.604	0.434
YBR078W	0.732	0.558
YBR079C	0.996	0.848
YBR080C	0.601	0.436
YBR081C	0.362	0.279
YBR082C	0.823	0.663
YBR083W	0.722	0.525
YBR084C-A	1.081	0.805
YBR084W	1.111	1.05
YBR085W	0.63	0.445
YBR086C	0.513	0.433
YBR087W	0.54	0.38
YBR088C	1.021	0.846
YBR089W	0.87	0.721
YBR090C	0.492	0.468
YBR091C	0.388	0.33
YBR092C	1.113	1.057
YBR093C	1.183	1.118
YBR094W	0.377	0.269
YBR095C	0.324	0.249
YBR096W	0.822	0.603
YBR097W	0.579	0.36
YBR098W	0.385	0.289
YBR099C	0.695	0.447
YBR100W	0.522	0.371
YBR101C	0.875	0.624
YBR102C	0.396	0.288
YBR103W	0.397	0.296
YBR104W	0.852	0.729
YBR105C	0.931	0.734
YBR106W	1.091	0.721
YBR107C	0.444	0.344
YBR108W	0.46	0.359
YBR109C	0.433	0.35
YBR110W	0.471	0.326
YBR111C	0.583	0.527
YBR112C	0.386	0.305
YBR113W	0.401	0.337
YBR114W	0.756	0.633
YBR115C	0.602	0.507
YBR116C	1.648	1.177
YBR117C	1.387	0.989
YBR118W	0.848	0.621
YBR119W	0.428	0.313
YBR120C	0.531	0.419
YBR121C	1.188	0.875
YBR122C	0.445	0.364
YBR123C	0.411	0.268
YBR124W	0.344	0.355
YBR125C	0.32	0.246
YBR126C	1.239	1.065
YBR127C	0.456	0.331
YBR128C	0.397	0.281
YBR129C	0.546	0.33
YBR130C	0.534	0.352
YBR131W	0.418	0.325
YBR132C	1.248	1.006
YBR133C	0.434	0.352
YBR134W	0.537	0.39
YBR135W	0.487	0.334
YBR136W	0.469	0.326
YBR137W	0.697	0.588
YBR138C	0.55	0.415
YBR139W	1.108	1.046
YBR140C	0.306	0.246
YBR141C	0.541	0.519
YBR142W	1.051	0.965
YBR143C	1.042	0.867
YBR144C	0.639	0.49
YBR145W	0.683	0.492
YBR146W	0.391	0.312
YBR147W	1.777	1.457
YBR148W	0.648	0.43
YBR149W	0.824	0.826
YBR150C	0.491	0.381
YBR151W	0.52	0.403
YBR152W	0.436	0.355
YBR153W	0.449	0.348
YBR154C	0.909	0.724
YBR155W	0.909	0.759
YBR156C	0.501	0.382
YBR157C	1.102	0.73
YBR158W	0.732	0.558
YBR159W	0.822	0.491
YBR160W	0.472	0.391
YBR161W	0.492	0.371
YBR162C	1.052	0.818
YBR162W-A	0.649	0.487
YBR163W	0.5	0.389
YBR164C	0.622	0.446
YBR165W	0.519	0.357
YBR166C	0.523	0.365
YBR167C	0.466	0.328
YBR168W	0.474	0.365
YBR169C	1.518	1.467
YBR170C	0.557	0.477
YBR171W	0.623	0.472
YBR172C	0.662	0.499
YBR173C	0.518	0.411
YBR174C	0.485	0.392
YBR175W	0.596	0.436
YBR176W	0.54	0.344
YBR177C	0.66	0.511
YBR178W	0.674	0.484
YBR179C	0.778	0.515
YBR180W	0.733	0.523
YBR181C	1.303	1.019
YBR182C	0.856	0.601
YBR183W	1.222	1.001
YBR184W	0.536	0.489
YBR185C	0.576	0.473
YBR186W	0.587	0.482
YBR187W	0.868	0.776
YBR188C	0.298	0.251
YBR189W	1.23	0.981
YBR190W	0.541	0.576
YBR191W	1.226	0.956
YBR192W	0.382	0.248
YBR193C	0.388	0.31
YBR194W	0.378	0.276
YBR195C	0.372	0.282
YBR196C	0.693	0.464
YBR197C	0.451	0.314
YBR198C	0.366	0.298
YBR199W	0.41	0.346
YBR200W	0.482	0.309
YBR201W	0.5	0.381
YBR202W	0.52	0.449
YBR203W	1.168	0.85
YBR204C	0.564	0.551
YBR205W	0.574	0.39
YBR206W	0.636	0.455
YBR207W	0.574	0.467
YBR208C	0.624	0.406
YBR209W	0.673	0.499
YBR210W	0.45	0.331
YBR211C	0.351	0.285
YBR212W	0.942	0.697
YBR213W	0.892	0.583
YBR214W	0.85	0.622
YBR215W	0.429	0.311
YBR216C	0.368	0.27
YBR217W	0.448	0.317
YBR218C	0.443	0.339
YBR219C	0.456	0.373
YBR220C	0.437	0.371
YBR221C	0.481	0.366
YBR222C	0.615	0.477
YBR223C	0.707	0.465
YBR224W	0.51	0.37
YBR225W	0.611	0.483
YBR226C	0.789	0.492
YBR227C	0.424	0.314
YBR228W	0.393	0.265
YBR229C	0.475	0.353
YBR230C	1.513	1.404
YBR231C	0.61	0.426
YBR232C	0.483	0.316
YBR233W	0.465	0.358
YBR234C	0.575	0.411
YBR235W	0.476	0.355
YBR236C	0.378	0.271
YBR237W	0.583	0.408
YBR238C	1.207	1.16
YBR239C	0.435	0.315
YBR240C	0.793	0.584
YBR241C	1.18	0.952
YBR242W	0.501	0.441
YBR243C	0.555	0.397
YBR244W	1.497	1.123
YBR245C	0.503	0.352
YBR246W	0.467	0.397
YBR247C	1.196	1.072
YBR248C	0.752	0.529
YBR249C	1.089	0.815
YBR250W	0.602	0.495
YBR251W	0.473	0.373
YBR252W	0.705	0.634
YBR253W	0.396	0.32
YBR254C	0.539	0.41
YBR255W	0.558	0.476
YBR256C	0.606	0.564
YBR257W	0.564	0.424
YBR258C	0.362	0.277
YBR259W	0.404	0.329
YBR260C	0.345	0.265
YBR261C	0.484	0.366
YBR262C	0.472	0.337
YBR263W	0.676	0.534
YBR264C	0.418	0.347
YBR265W	0.523	0.397
YBR266C	1.129	1.016
YBR267W	1.002	0.825
YBR268W	0.444	0.345
YBR269C	0.926	0.798
YBR270C	0.624	0.42
YBR271W	0.759	0.646
YBR272C	0.473	0.386
YBR273C	0.534	0.457
YBR274W	0.319	0.25
YBR275C	0.531	0.393
YBR276C	0.52	0.376
YBR277C	0.404	0.294
YBR278W	0.533	0.354
YBR279W	0.416	0.329
YBR280C	1.011	0.792
YBR281C	0.548	0.373
YBR282W	0.414	0.357
YBR283C	0.674	0.522
YBR284W	0.619	0.484
YBR285W	1.295	1.051
YBR286W	0.621	0.481
YBR287W	0.698	0.703
YBR288C	0.465	0.329
YBR289W	0.263	0.203
YBR290W	0.636	0.484
YBR291C	0.738	0.551
YBR292C	0.442	0.377
YBR293W	0.409	0.338
YBR294W	1.179	0.658
YBR295W	0.646	0.465
YBR296C	1.888	1.295
YBR297W	0.99	0.704
YBR298C	1.006	0.723
YBR299W	0.529	0.357
YBR300C	0.508	0.434
YBR301W	0.525	0.406
YBR302C	0.465	0.433
YCL001W	0.736	0.505
YCL002C	0.383	0.324
YCL004W	0.386	0.281
YCL005W	0.394	0.314
YCL006C	0.548	0.485
YCL007C	0.397	0.316
YCL008C	0.543	0.392
YCL009C	0.533	0.425
YCL010C	0.497	0.381
YCL011C	0.377	0.313
YCL012W	0.629	0.516
YCL014W	0.784	0.641
YCL016C	0.537	0.284
YCL017C	0.476	0.299
YCL018W	0.729	0.521
YCL019W	0.694	0.512
YCL020W	0.779	0.565
YCL022C	0.436	0.401
YCL023C	0.506	0.524
YCL024W	0.476	0.416
YCL025C	1.136	0.789
YCL027W	0.821	0.548
YCL028W	0.363	0.253
YCL029C	0.366	0.351
YCL030C	1.09	0.811
YCL031C	0.556	0.46
YCL032W	0.502	0.354
YCL033C	0.731	0.547
YCL034W	0.487	0.385
YCL035C	0.986	0.989
YCL036W	0.68	0.564
YCL037C	1.232	1.205
YCL038C	0.594	0.53
YCL039W	0.444	0.3
YCL040W	1.837	1.679
YCL041C	0.567	0.393
YCL042W	1.478	1.258
YCL043C	0.752	0.58
YCL044C	0.578	0.454
YCL045C	0.7	0.459
YCL046W	0.736	0.538
YCL047C	0.613	0.451
YCL048W	0.563	0.407
YCL049C	0.705	0.56
YCL050C	0.806	0.611
YCL051W	0.446	0.334
YCL052C	0.532	0.528
YCL054W	1.307	1.154
YCL055W	0.56	0.446
YCL056C	0.419	0.372
YCL057W	0.659	0.535
YCL058C	0.482	0.35
YCL059C	1.251	1.096
YCL061C	0.355	0.375
YCL063W	0.592	0.564
YCL064C	1.523	1.081
YCL065W	0.409	0.301
YCL066W	0.455	0.422
YCL067C	0.562	0.507
YCL068C	0.481	0.333
YCL069W	0.639	0.477
YCL073C	1.044	0.558
YCL074W	0.702	0.687
YCL075W	0.623	0.55
YCL076W	0.67	0.632
YCR001W	0.523	0.379
YCR002C	0.798	0.466
YCR003W	0.539	0.41
YCR004C	0.654	0.594
YCR005C	1.436	1.272
YCR006C	0.506	0.419
YCR007C	0.815	0.633
YCR008W	0.587	0.356
YCR009C	0.37	0.279
YCR010C	1.82	0.991
YCR011C	0.605	0.577
YCR012W	0.91	0.629
YCR013C	0.953	0.689
YCR014C	0.415	0.336
YCR015C	0.412	0.29
YCR016W	0.988	0.897
YCR017C	0.426	0.329
YCR018C	0.673	0.498
YCR019W	0.371	0.292
YCR020C	0.458	0.369
YCR020C-A	0.521	0.366
YCR021C	1.866	1.388
YCR022C	0.478	0.403
YCR023C	0.471	0.337
YCR024C	0.49	0.417
YCR024C-A	0.545	0.422
YCR025C	0.614	0.438
YCR026C	0.321	0.249
YCR027C	0.314	0.24
YCR028C	0.381	0.333
YCR030C	0.655	0.512
YCR031C	0.976	0.839
YCR032W	0.42	0.316
YCR033W	0.273	0.212
YCR034W	1.084	0.879
YCR035C	0.57	0.502
YCR036W	0.507	0.513
YCR037C	0.534	0.387
YCR038C	0.516	0.389
YCR039C	0.575	0.474
YCR040W	0.546	0.535
YCR041W	0.313	0.279
YCR042C	0.445	0.338
YCR043C	0.746	0.647
YCR044C	0.495	0.348
YCR045C	0.454	0.337
YCR046C	0.517	0.391
YCR047C	0.64	0.601
YCR048W	0.509	0.418
YCR049C	0.696	0.583
YCR050C	0.603	0.438
YCR051W	0.625	0.639
YCR052W	0.457	0.41
YCR053W	0.82	0.611
YCR054C	0.49	0.412
YCR057C	1.156	1.11
YCR059C	0.59	0.578
YCR060W	0.514	0.373
YCR061W	0.91	0.75
YCR062W	0.877	0.785
YCR063W	0.586	0.449
YCR064C	0.482	0.367
YCR065W	0.541	0.465
YCR066W	0.501	0.343
YCR067C	0.401	0.325
YCR068W	0.645	0.507
YCR069W	0.5	0.409
YCR071C	0.403	0.317
YCR072C	1.182	1.086
YCR073C	0.626	0.412
YCR075C	0.526	0.407
YCR076C	0.545	0.422
YCR077C	0.456	0.383
YCR079W	0.602	0.464
YCR081W	0.412	0.297
YCR082W	0.489	0.406
YCR083W	0.66	0.533
YCR084C	0.453	0.356
YCR085W	0.521	0.436
YCR086W	0.348	0.308
YCR087W	0.709	0.621
YCR088W	0.708	0.507
YCR089W	0.599	0.455
YCR090C	0.481	0.341
YCR091W	1.067	0.832
YCR092C	0.321	0.246
YCR093W	0.375	0.319
YCR094W	0.363	0.312
YCR095C	0.335	0.254
YCR096C	0.52	0.462
YCR098C	0.954	0.666
YCR099C	0.571	0.4
YCR100C	0.554	0.417
YCR101C	0.575	0.43
YCR102C	0.99	0.712
YCR103C	0.423	0.359
YCR104W	0.514	0.396
YCR105W	0.545	0.45
YCR106W	0.537	0.411
YCR107W	0.752	0.525
YDL001W	0.589	0.322
YDL002C	0.464	0.333
YDL003W	0.789	0.687
YDL004W	0.693	0.498
YDL005C	0.339	0.259
YDL006W	0.297	0.223
YDL007W	0.508	0.428
YDL008W	0.401	0.277
YDL009C	0.563	0.447
YDL010W	0.56	0.442
YDL011C	0.559	0.41
YDL012C	0.346	0.273
YDL013W	0.438	0.359
YDL014W	1.362	1.166
YDL015C	0.596	0.408
YDL016C	0.447	0.336
YDL017W	0.393	0.312
YDL018C	0.493	0.361
YDL019C	0.494	0.367
YDL020C	0.903	0.708
YDL021W	1.741	1.524
YDL022W	1.466	1.218
YDL023C	1.442	1.147
YDL024C	1.616	1.209
YDL025C	0.918	0.778
YDL026W	0.967	0.747
YDL027C	0.692	0.669
YDL028C	0.577	0.408
YDL029W	0.599	0.45
YDL030W	0.667	0.454
YDL031W	0.867	0.767
YDL032W	0.542	0.365
YDL033C	0.721	0.472
YDL034W	0.505	0.421
YDL035C	0.602	0.431
YDL036C	1.059	0.706
YDL037C	1.185	0.875
YDL038C	0.927	0.736
YDL039C	1.0	0.785
YDL040C	0.677	0.483
YDL041W	0.456	0.398
YDL042C	0.409	0.324
YDL043C	0.429	0.363
YDL044C	0.336	0.252
YDL045C	0.416	0.341
YDL045W-A	0.367	0.321
YDL046W	0.573	0.599
YDL047W	0.482	0.33
YDL048C	0.899	0.67
YDL049C	0.75	0.547
YDL050C	0.809	0.674
YDL051W	0.995	0.867
YDL052C	0.575	0.415
YDL053C	0.323	0.254
YDL054C	0.474	0.405
YDL055C	0.823	0.622
YDL056W	0.61	0.411
YDL057W	0.548	0.401
YDL058W	0.529	0.426
YDL059C	0.676	0.433
YDL060W	0.871	0.751
YDL061C	1.056	0.831
YDL062W	0.996	0.906
YDL063C	1.014	0.965
YDL064W	0.498	0.387
YDL065C	0.524	0.348
YDL066W	0.465	0.379
YDL067C	0.576	0.403
YDL068W	0.445	0.311
YDL069C	0.421	0.358
YDL070W	0.498	0.363
YDL071C	0.361	0.364
YDL072C	0.709	0.615
YDL073W	0.463	0.386
YDL074C	0.445	0.36
YDL075W	1.049	0.866
YDL076C	0.364	0.312
YDL077C	0.515	0.36
YDL078C	0.466	0.384
YDL079C	0.891	0.637
YDL080C	0.427	0.305
YDL081C	1.018	0.904
YDL082W	1.15	0.926
YDL083C	1.123	0.944
YDL084W	0.759	0.571
YDL085W	1.472	1.026
YDL086W	0.418	0.344
YDL087C	0.478	0.355
YDL088C	0.525	0.3
YDL089W	0.47	0.347
YDL090C	0.585	0.356
YDL091C	0.643	0.497
YDL092W	0.438	0.343
YDL093W	0.532	0.479
YDL094C	0.529	0.42
YDL095W	0.68	0.518
YDL096C	0.745	0.548
YDL097C	0.496	0.389
YDL098C	0.497	0.373
YDL099W	0.44	0.353
YDL100C	0.539	0.432
YDL101C	0.509	0.355
YDL102W	0.56	0.43
YDL103C	0.55	0.383
YDL104C	0.644	0.374
YDL105W	0.49	0.429
YDL106C	0.607	0.43
YDL107W	0.527	0.406
YDL108W	0.435	0.298
YDL109C	0.861	0.587
YDL110C	1.135	0.979
YDL111C	0.706	0.616
YDL112W	0.735	0.565
YDL113C	0.578	0.421
YDL114W	0.757	0.56
YDL115C	0.628	0.458
YDL116W	0.528	0.371
YDL117W	0.498	0.447
YDL118W	0.687	0.438
YDL119C	0.572	0.415
YDL120W	0.528	0.389
YDL121C	0.787	0.566
YDL122W	0.651	0.465
YDL123W	0.446	0.345
YDL124W	1.285	1.624
YDL125C	0.657	0.483
YDL126C	0.575	0.582
YDL127W	0.531	0.434
YDL128W	0.449	0.423
YDL129W	0.752	0.589
YDL130W	1.148	0.81
YDL131W	1.15	0.852
YDL132W	0.496	0.435
YDL133W	0.353	0.277
YDL134C	0.35	0.312
YDL135C	0.506	0.356
YDL136W	0.872	0.677
YDL137W	0.459	0.388
YDL138W	0.541	0.358
YDL139C	0.631	0.415
YDL140C	0.501	0.393
YDL141W	0.457	0.355
YDL142C	0.456	0.378
YDL143W	0.776	0.551
YDL144C	0.401	0.31
YDL145C	0.559	0.408
YDL146W	0.522	0.408
YDL147W	0.493	0.438
YDL148C	1.246	1.128
YDL149W	0.799	0.627
YDL150W	0.838	0.792
YDL151C	0.757	0.797
YDL152W	0.881	0.797
YDL153C	1.182	1.035
YDL154W	0.447	0.356
YDL155W	0.383	0.308
YDL156W	0.42	0.36
YDL157C	0.511	0.396
YDL158C	0.325	0.242
YDL159W	0.309	0.235
YDL160C	0.545	0.404
YDL161W	0.42	0.303
YDL162C	0.452	0.475
YDL163W	0.537	0.506
YDL164C	0.52	0.413
YDL165W	0.373	0.287
YDL166C	0.575	0.468
YDL167C	1.072	0.978
YDL168W	0.481	0.387
YDL169C	1.254	0.958
YDL170W	0.695	0.476
YDL171C	0.633	0.547
YDL172C	0.389	0.303
YDL173W	0.454	0.332
YDL174C	0.694	0.516
YDL175C	0.457	0.281
YDL176W	0.499	0.369
YDL177C	0.384	0.301
YDL178W	0.411	0.323
YDL179W	0.55	0.454
YDL180W	0.523	0.45
YDL181W	1.355	1.055
YDL182W	1.029	0.773
YDL183C	0.772	0.567
YDL184C	0.749	0.582
YDL185W	0.668	0.43
YDL186W	0.617	0.441
YDL187C	0.478	0.505
YDL188C	0.552	0.324
YDL189W	0.455	0.422
YDL190C	0.368	0.287
YDL191W	0.942	0.742
YDL192W	0.647	0.495
YDL193W	0.592	0.398
YDL194W	0.883	0.642
YDL195W	0.718	0.505
YDL196W	0.828	0.472
YDL197C	0.522	0.363
YDL198C	0.679	0.549
YDL199C	1.184	0.922
YDL200C	0.687	0.516
YDL201W	0.891	0.805
YDL202W	0.395	0.291
YDL203C	0.399	0.286
YDL204W	2.337	2.058
YDL205C	0.53	0.529
YDL206W	1.337	0.989
YDL207W	1.378	0.966
YDL208W	1.636	1.122
YDL209C	1.326	0.995
YDL210W	1.228	0.878
YDL211C	1.299	0.999
YDL212W	1.518	1.1
YDL213C	1.241	0.92
YDL214C	1.255	0.939
YDL215C	0.879	0.703
YDL216C	1.368	1.033
YDL217C	1.361	0.974
YDL218W	1.029	0.665
YDL219W	0.608	0.448
YDL220C	0.576	0.402
YDL221W	0.385	0.296
YDL222C	1.612	1.176
YDL223C	1.299	0.926
YDL224C	0.345	0.295
YDL225W	0.507	0.348
YDL226C	0.442	0.339
YDL227C	0.514	0.382
YDL228C	0.366	0.278
YDL229W	0.418	0.319
YDL230W	0.429	0.333
YDL231C	0.377	0.295
YDL232W	0.468	0.345
YDL233W	0.605	0.42
YDL234C	0.721	0.617
YDL235C	0.532	0.403
YDL236W	0.686	0.478
YDL237W	0.457	0.376
YDL238C	0.67	0.529
YDL239C	0.606	0.439
YDL240W	0.453	0.355
YDL241W	0.619	0.53
YDL242W	0.524	0.373
YDL243C	0.746	0.535
YDL244W	0.755	0.567
YDL245C	0.577	0.433
YDL246C	0.576	0.4
YDL247W	0.556	0.39
YDL248W	0.466	0.415
YDR001C	1.104	1.069
YDR002W	0.76	0.52
YDR003W	0.676	0.6
YDR004W	0.402	0.302
YDR005C	0.476	0.357
YDR006C	0.517	0.369
YDR007W	0.4	0.316
YDR008C	0.38	0.304
YDR009W	0.748	0.554
YDR010C	0.649	0.424
YDR011W	0.541	0.414
YDR012W	1.01	0.872
YDR013W	0.367	0.296
YDR014W	0.354	0.276
YDR015C	0.932	0.637
YDR016C	0.345	0.265
YDR017C	0.465	0.36
YDR018C	1.065	0.846
YDR019C	1.164	0.936
YDR020C	0.634	0.494
YDR021W	0.744	0.674
YDR022C	0.747	0.61
YDR023W	1.015	0.738
YDR024W	0.604	0.581
YDR025W	1.252	1.016
YDR026C	0.385	0.303
YDR027C	0.458	0.345
YDR028C	0.542	0.349
YDR029W	0.492	0.364
YDR030C	0.591	0.411
YDR031W	0.833	0.665
YDR032C	0.957	0.953
YDR033W	0.914	0.677
YDR034C	0.445	0.303
YDR035W	0.594	0.449
YDR036C	0.445	0.32
YDR037W	1.183	0.88
YDR038C	0.422	0.326
YDR039C	0.491	0.401
YDR040C	0.491	0.344
YDR041W	0.571	0.43
YDR042C	0.544	0.4
YDR043C	0.916	0.758
YDR044W	0.631	0.559
YDR045C	0.543	0.485
YDR046C	0.968	0.62
YDR047W	0.555	0.406
YDR048C	0.532	0.376
YDR049W	0.418	0.374
YDR050C	0.804	0.541
YDR051C	0.409	0.29
YDR052C	0.584	0.444
